!9/13/2017.11:18:21.AM
!RF.CORRECTION: 12.TERM.CAL
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG.PHASE      	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	PHASE3.DEG	FREQ4.GHZ	LOGMAG4
107	0.002079697	-3.211024E+001	0.002079697	-8.773342E+001	0.002079697	-5.958902E+000	179.4410000	0.002079697	-3.050318E+001
108	0.002094112	-3.207333E+001	0.002094112	-9.238860E+001	0.002094112	-5.958289E+000	179.3627000	0.002094112	-3.049020E+001
109	0.002108628	-3.207790E+001	0.002108628	-8.953503E+001	0.002108628	-5.960756E+000	179.3638000	0.002108628	-3.048969E+001
110	0.002123244	-3.209168E+001	0.002123244	-8.448819E+001	0.002123244	-5.954524E+000	179.3501000	0.002123244	-3.048005E+001
111	0.002137962	-3.209924E+001	0.002137962	-8.590115E+001	0.002137962	-5.954494E+000	179.3805000	0.002137962	-3.051734E+001
112	0.002152782	-3.207293E+001	0.002152782	-8.389529E+001	0.002152782	-5.966786E+000	179.3803000	0.002152782	-3.050060E+001
113	0.002167704	-3.207521E+001	0.002167704	-8.399837E+001	0.002167704	-5.958607E+000	179.3472000	0.002167704	-3.049817E+001
114	0.002182730	-3.210653E+001	0.002182730	-9.716656E+001	0.002182730	-5.958555E+000	179.3669000	0.002182730	-3.051825E+001
115	0.002197860	-3.206086E+001	0.002197860	-8.939261E+001	0.002197860	-5.959200E+000	179.3516000	0.002197860	-3.051521E+001
116	0.002213095	-3.207749E+001	0.002213095	-8.707385E+001	0.002213095	-5.955525E+000	179.2814000	0.002213095	-3.051461E+001
117	0.002228435	-3.208240E+001	0.002228435	-9.287526E+001	0.002228435	-5.959718E+000	179.2930000	0.002228435	-3.051004E+001
118	0.002243882	-3.208782E+001	0.002243882	-8.785472E+001	0.002243882	-5.952878E+000	179.2992000	0.002243882	-3.050982E+001
119	0.002259436	-3.206580E+001	0.002259436	-7.705270E+001	0.002259436	-5.959072E+000	179.2999000	0.002259436	-3.049811E+001
120	0.002275097	-3.207016E+001	0.002275097	-8.988900E+001	0.002275097	-5.954667E+000	179.2694000	0.002275097	-3.052420E+001
121	0.002290868	-3.207526E+001	0.002290868	-9.095380E+001	0.002290868	-5.951818E+000	179.2436000	0.002290868	-3.051105E+001
122	0.002306747	-3.208672E+001	0.002306747	-9.152714E+001	0.002306747	-5.952645E+000	179.2562000	0.002306747	-3.052169E+001
123	0.002322737	-3.208232E+001	0.002322737	-9.095691E+001	0.002322737	-5.953527E+000	179.2364000	0.002322737	-3.053161E+001
124	0.002338837	-3.202474E+001	0.002338837	-8.816059E+001	0.002338837	-5.959448E+000	179.2122000	0.002338837	-3.054836E+001
125	0.002355049	-3.210595E+001	0.002355049	-9.141051E+001	0.002355049	-5.960243E+000	179.1971000	0.002355049	-3.056576E+001
126	0.002371374	-3.204697E+001	0.002371374	-8.545964E+001	0.002371374	-5.961568E+000	179.1925000	0.002371374	-3.053868E+001
127	0.002387811	-3.204325E+001	0.002387811	-8.925900E+001	0.002387811	-5.963107E+000	179.2112000	0.002387811	-3.053288E+001
128	0.002404363	-3.207548E+001	0.002404363	-8.764490E+001	0.002404363	-5.958828E+000	179.1951000	0.002404363	-3.054314E+001
129	0.002421029	-3.205858E+001	0.002421029	-8.821907E+001	0.002421029	-5.956814E+000	179.1791000	0.002421029	-3.053045E+001
130	0.002437811	-3.201798E+001	0.002437811	-8.524402E+001	0.002437811	-5.953727E+000	179.1839000	0.002437811	-3.053084E+001
131	0.002454709	-3.209953E+001	0.002454709	-8.322251E+001	0.002454709	-5.956363E+000	179.1741000	0.002454709	-3.055252E+001
132	0.002471724	-3.206574E+001	0.002471724	-8.909647E+001	0.002471724	-5.957205E+000	179.1849000	0.002471724	-3.053498E+001
133	0.002488857	-3.203197E+001	0.002488857	-8.204504E+001	0.002488857	-5.957089E+000	179.1137000	0.002488857	-3.059292E+001
134	0.002506109	-3.206958E+001	0.002506109	-1.047720E+002	0.002506109	-5.955160E+000	179.1653000	0.002506109	-3.057594E+001
135	0.002523481	-3.205472E+001	0.002523481	-8.826225E+001	0.002523481	-5.954412E+000	179.1585000	0.002523481	-3.056108E+001
136	0.002540973	-3.205470E+001	0.002540973	-8.357043E+001	0.002540973	-5.956043E+000	179.0966000	0.002540973	-3.058320E+001
137	0.002558586	-3.204246E+001	0.002558586	-9.117999E+001	0.002558586	-5.960306E+000	179.0901000	0.002558586	-3.061430E+001
138	0.002576321	-3.205136E+001	0.002576321	-9.519562E+001	0.002576321	-5.960056E+000	179.0692000	0.002576321	-3.057148E+001
139	0.002594179	-3.205691E+001	0.002594179	-8.479134E+001	0.002594179	-5.958446E+000	179.0987000	0.002594179	-3.059220E+001
140	0.002612161	-3.204619E+001	0.002612161	-8.901674E+001	0.002612161	-5.955748E+000	179.1059000	0.002612161	-3.061174E+001
141	0.002630268	-3.204699E+001	0.002630268	-8.359952E+001	0.002630268	-5.956695E+000	179.0347000	0.002630268	-3.062613E+001
142	0.002648500	-3.204247E+001	0.002648500	-8.080153E+001	0.002648500	-5.958501E+000	179.0362000	0.002648500	-3.059576E+001
143	0.002666859	-3.205112E+001	0.002666859	-1.009707E+002	0.002666859	-5.953571E+000	179.0605000	0.002666859	-3.060426E+001
144	0.002685344	-3.203912E+001	0.002685344	-8.043374E+001	0.002685344	-5.960737E+000	178.9814000	0.002685344	-3.056989E+001
145	0.002703958	-3.205190E+001	0.002703958	-9.274655E+001	0.002703958	-5.959299E+000	179.0071000	0.002703958	-3.057988E+001
146	0.002722701	-3.202277E+001	0.002722701	-8.766054E+001	0.002722701	-5.959590E+000	178.9814000	0.002722701	-3.057254E+001
147	0.002741574	-3.202496E+001	0.002741574	-8.231384E+001	0.002741574	-5.950296E+000	178.9711000	0.002741574	-3.059859E+001
148	0.002760578	-3.203773E+001	0.002760578	-9.935807E+001	0.002760578	-5.957498E+000	178.9455000	0.002760578	-3.060398E+001
149	0.002779713	-3.205638E+001	0.002779713	-8.289307E+001	0.002779713	-5.961518E+000	178.9927000	0.002779713	-3.059056E+001
150	0.002798981	-3.202764E+001	0.002798981	-9.503150E+001	0.002798981	-5.959834E+000	178.9824000	0.002798981	-3.063168E+001
151	0.002818383	-3.208103E+001	0.002818383	-9.033039E+001	0.002818383	-5.958405E+000	178.9615000	0.002818383	-3.060384E+001
152	0.002837919	-3.204327E+001	0.002837919	-8.429109E+001	0.002837919	-5.955832E+000	178.9327000	0.002837919	-3.059008E+001
153	0.002857591	-3.203526E+001	0.002857591	-9.042838E+001	0.002857591	-5.951822E+000	178.9093000	0.002857591	-3.062307E+001
154	0.002877398	-3.207251E+001	0.002877398	-8.810667E+001	0.002877398	-5.952367E+000	178.8851000	0.002877398	-3.063124E+001
155	0.002897344	-3.201448E+001	0.002897344	-8.886924E+001	0.002897344	-5.962914E+000	178.9024000	0.002897344	-3.060368E+001
156	0.002917427	-3.205192E+001	0.002917427	-8.636961E+001	0.002917427	-5.961221E+000	178.8491000	0.002917427	-3.061982E+001
157	0.002937650	-3.200310E+001	0.002937650	-8.598325E+001	0.002937650	-5.958147E+000	178.8899000	0.002937650	-3.061790E+001
158	0.002958012	-3.200872E+001	0.002958012	-8.366246E+001	0.002958012	-5.961013E+000	178.8794000	0.002958012	-3.063647E+001
159	0.002978516	-3.202419E+001	0.002978516	-8.993774E+001	0.002978516	-5.956850E+000	178.8502000	0.002978516	-3.065522E+001
160	0.002999163	-3.203374E+001	0.002999163	-8.352619E+001	0.002999163	-5.952201E+000	178.8165000	0.002999163	-3.062426E+001
161	0.003019952	-3.201312E+001	0.003019952	-8.314576E+001	0.003019952	-5.957370E+000	178.8131000	0.003019952	-3.064344E+001
162	0.003040885	-3.202910E+001	0.003040885	-9.698029E+001	0.003040885	-5.956270E+000	178.7822000	0.003040885	-3.064190E+001
163	0.003061963	-3.202404E+001	0.003061963	-8.942575E+001	0.003061963	-5.951507E+000	178.8262000	0.003061963	-3.064127E+001
164	0.003083188	-3.200797E+001	0.003083188	-8.882870E+001	0.003083188	-5.948937E+000	178.7540000	0.003083188	-3.064057E+001
165	0.003104560	-3.202471E+001	0.003104560	-9.309837E+001	0.003104560	-5.955977E+000	178.7979000	0.003104560	-3.063531E+001
166	0.003126079	-3.201592E+001	0.003126079	-7.887997E+001	0.003126079	-5.959949E+000	178.7349000	0.003126079	-3.064338E+001
167	0.003147748	-3.201690E+001	0.003147748	-8.212817E+001	0.003147748	-5.954648E+000	178.7450000	0.003147748	-3.061820E+001
168	0.003169567	-3.202304E+001	0.003169567	-8.585419E+001	0.003169567	-5.956732E+000	178.7830000	0.003169567	-3.066432E+001
169	0.003191538	-3.202024E+001	0.003191538	-9.061212E+001	0.003191538	-5.950656E+000	178.7272000	0.003191538	-3.061117E+001
170	0.003213661	-3.201062E+001	0.003213661	-8.231441E+001	0.003213661	-5.949210E+000	178.7226000	0.003213661	-3.064281E+001
171	0.003235937	-3.199822E+001	0.003235937	-9.010425E+001	0.003235937	-5.953987E+000	178.7083000	0.003235937	-3.064199E+001
172	0.003258367	-3.201174E+001	0.003258367	-8.479572E+001	0.003258367	-5.954903E+000	178.7043000	0.003258367	-3.062667E+001
173	0.003280953	-3.202978E+001	0.003280953	-8.235570E+001	0.003280953	-5.957351E+000	178.6699000	0.003280953	-3.063278E+001
174	0.003303695	-3.200993E+001	0.003303695	-8.810963E+001	0.003303695	-5.954713E+000	178.6537000	0.003303695	-3.063562E+001
175	0.003326596	-3.203676E+001	0.003326596	-9.086157E+001	0.003326596	-5.952637E+000	178.6007000	0.003326596	-3.066306E+001
176	0.003349654	-3.201166E+001	0.003349654	-8.848405E+001	0.003349654	-5.955043E+000	178.6500000	0.003349654	-3.065280E+001
